t_s,ang_deg
0.000,0.00
0.005,0.00
0.010,0.40
0.015,1.20
0.020,2.20
0.025,3.00
0.030,4.21
0.035,5.01
0.040,6.21
0.045,7.61
0.050,8.61
0.055,10.42
0.060,11.62
0.065,13.02
0.070,14.22
0.075,15.83
0.080,17.43
0.085,19.23
0.090,20.63
0.095,22.24
0.100,23.84
0.105,25.44
0.110,27.04
0.115,28.65
0.120,30.25
0.125,32.05
0.130,33.65
0.135,35.26
0.140,37.06
0.145,38.66
0.150,40.26
0.155,41.87
0.160,43.47
0.165,45.07
0.170,46.67
0.175,48.28
0.180,50.08
0.185,51.48
0.190,53.08
0.195,54.49
0.200,55.89
0.205,57.29
0.210,58.89
0.215,60.30
0.220,61.70
0.225,62.90
0.230,64.30
0.235,65.70
0.240,66.91
0.245,68.11
0.250,69.51
0.255,70.71
0.260,71.91
0.265,73.12
0.270,74.32
0.275,75.32
0.280,76.52
0.285,77.52
0.290,78.72
0.295,79.73
0.300,80.73
0.305,81.73
0.310,82.73
0.315,83.93
0.320,84.93
0.325,85.74
0.330,86.54
0.335,87.34
0.340,88.34
0.345,89.14
0.350,90.14
0.355,90.74
0.360,91.55
0.365,92.35
0.370,92.95
0.375,93.55
0.380,94.55
0.385,95.15
0.390,95.55
0.395,96.15
0.400,97.15
0.405,97.55
0.410,98.16
0.415,98.36
0.420,98.56
0.425,99.16
0.430,99.36
0.435,99.76
0.440,99.96
0.445,100.36
0.450,100.56
0.455,100.76
0.460,101.56
0.465,101.56
0.470,101.76
0.475,102.16
0.480,102.16
0.485,102.36
0.490,102.36
0.495,102.36
0.500,102.76
0.505,102.76
0.510,102.56
0.515,102.56
0.520,102.56
0.525,102.56
0.530,102.56
0.535,102.56
0.540,102.56
0.545,102.56
0.550,102.56
0.555,102.56
0.560,101.36
0.565,101.36
0.570,101.36
0.575,101.36
0.580,101.36
0.585,101.36
0.590,101.36
0.595,101.36
0.600,101.36
0.605,101.36
0.610,101.36
0.615,101.36
0.620,101.36
0.625,101.36
0.630,101.36
0.635,101.36
0.640,101.36
0.645,101.36
0.650,101.36
0.655,101.36
0.660,101.36
0.665,101.36
0.670,101.36
0.675,101.36
0.680,101.36
0.685,101.36
0.690,101.36
0.695,101.36
0.700,101.36
0.705,101.36
0.710,101.36
0.715,101.36
0.720,101.36
0.725,101.36
0.730,101.36
0.735,101.36
0.740,101.36
0.745,101.36
0.750,101.36
0.755,101.36
0.760,101.36
0.765,101.36
0.770,101.36
0.775,101.36
0.780,101.36
0.785,101.36
0.790,101.36
0.795,101.36
0.800,101.36
0.805,101.36
0.810,101.36
0.815,101.36
0.820,101.36
0.825,101.36
0.830,101.36
0.835,101.36
0.840,101.36
0.845,101.36
0.850,101.36
0.855,101.36
0.860,101.36
0.865,101.36
0.870,101.36
0.875,101.36
0.880,101.36
0.885,101.36
0.890,101.36
0.895,101.36
0.900,101.36
0.905,101.36
0.910,101.36
0.915,101.36
0.920,101.36
0.925,101.36
0.930,101.36
0.935,101.36
0.940,101.36
0.945,101.36
0.950,101.36
0.955,101.36
0.960,101.36
0.965,101.36
0.970,101.36
0.975,101.36
0.980,101.36
0.985,101.36
0.990,101.36
0.995,101.36
1.000,101.36
1.005,101.36
1.010,101.36
1.015,101.36
1.020,101.36
1.025,101.36
1.030,101.36
1.035,101.36
1.040,101.36
1.045,101.36
1.050,101.36
1.055,101.36
1.060,101.36
1.065,101.36
1.070,101.36
1.075,101.36
1.080,101.36
1.085,101.36
1.090,101.36
1.095,101.36
1.100,101.36
1.105,101.36
1.110,101.36
1.115,101.36
1.120,101.36
1.125,101.36
1.130,101.36
1.135,101.36
1.140,101.36
1.145,101.36
1.150,101.36
1.155,101.36
1.160,101.36
1.165,101.36
1.170,101.36
1.175,101.36
1.180,101.36
1.185,101.36
1.190,101.36
1.195,101.36
1.200,101.36
1.205,101.36
1.210,101.36
1.215,101.36
1.220,101.36
1.225,101.36
1.230,101.36
1.235,101.36
1.240,101.36
1.245,101.36
1.250,101.36
1.255,101.36
1.260,101.36
1.265,101.36
1.270,101.36
1.275,101.36
1.280,101.36
1.285,101.36
1.290,101.36
1.295,101.36
1.300,101.36
1.305,101.36
1.310,101.36
1.315,101.36
1.320,101.36
1.325,101.36
1.330,101.36
1.335,101.36
1.340,101.36
1.345,101.36
1.350,101.36
1.355,101.36
1.360,101.36
1.365,101.36
1.370,101.36
1.375,101.36
1.380,101.36
1.385,101.36
1.390,101.36
1.395,101.36
1.400,101.36
1.405,101.36
1.410,101.36
1.415,101.36
1.420,101.36
1.425,101.36
1.430,101.36
1.435,101.36
1.440,101.36
1.445,101.36
1.450,101.36
1.455,101.36
1.460,101.36
1.465,101.36
1.470,101.36
1.475,101.36
1.480,101.36
1.485,101.36
1.490,101.36
1.495,101.36
1.500,101.36
1.505,101.36
1.510,101.36
1.515,101.36
1.520,101.36
1.525,101.36
1.530,101.36
1.535,101.36
1.540,101.36
1.545,101.36
1.550,101.36
1.555,101.36
1.560,101.36
1.565,101.36
1.570,101.36
1.575,101.36
1.580,101.36
1.585,101.36
1.590,101.36
1.595,101.36
1.600,101.36
1.605,101.36
1.610,101.36
1.615,101.36
1.620,101.36
1.625,101.36
1.630,101.36
1.635,101.36
1.640,101.36
1.645,101.36
1.650,101.36
1.655,101.36
1.660,101.36
1.665,101.36
1.670,101.36
1.675,101.36
1.680,101.36
1.685,101.36
1.690,101.36
1.695,101.36
1.700,101.36
1.705,101.36
1.710,101.36
1.715,101.36
1.720,101.36
1.725,101.36
1.730,101.36
1.735,101.36
1.740,101.36
1.745,101.36
1.750,101.36
1.755,101.36
1.760,101.36
1.765,101.36
1.770,101.36
1.775,101.36
1.780,101.36
1.785,101.36
1.790,101.36
1.795,101.36
1.800,101.36
1.805,101.36
1.810,101.36
1.815,101.36
1.820,101.36
1.825,101.36
1.830,101.36
1.835,101.36
1.840,101.36
1.845,101.36
1.850,101.36
1.855,101.36
1.860,101.36
1.865,101.36
1.870,101.36
1.875,101.36
1.880,101.36
1.885,101.36
1.890,101.36
1.895,101.36
1.900,101.36
1.905,101.36
1.910,101.36
1.915,101.36
1.920,101.36
1.925,101.36
1.930,101.36
1.935,101.36
1.940,101.36
1.945,101.36
1.950,101.36
1.955,101.36
1.960,101.36
1.965,101.36
1.970,101.36
1.975,101.36
1.980,101.36
1.985,101.36
1.990,101.36
1.995,101.36
2.000,101.36
2.005,101.36
2.010,101.36
2.015,101.36
2.020,101.36
2.025,101.36
2.030,101.36
2.035,101.36
2.040,101.36
2.045,101.36
2.050,101.36
2.055,101.36
2.060,101.36
2.065,101.36
2.070,101.36
2.075,101.36
2.080,101.36
2.085,101.36
2.090,101.36
2.095,101.36
2.100,101.36
2.105,101.36
2.110,101.36
2.115,101.36
2.120,101.36
2.125,101.36
2.130,101.36
2.135,101.36
2.140,101.36
2.145,101.36
2.150,101.36
2.155,101.36
2.160,101.36
2.165,101.36
2.170,101.36
2.175,101.36
2.180,101.36
2.185,101.36
2.190,101.36
2.195,101.36
2.200,101.36
2.205,101.36
2.210,101.36
2.215,101.36
2.220,101.36
2.225,101.36
2.230,101.36
2.235,101.36
2.240,101.36
2.245,101.36
2.250,101.36
2.255,101.36
2.260,101.36
2.265,101.36
2.270,101.36
2.275,101.36
2.280,101.36
2.285,101.36
2.290,101.36
2.295,101.36
2.300,101.36
2.305,101.36
2.310,101.36
2.315,101.36
2.320,101.36
2.325,101.36
2.330,101.36
2.335,101.36
2.340,101.36
2.345,101.36
2.350,101.36
2.355,101.36
2.360,101.36
2.365,101.36
2.370,101.36
2.375,101.36
2.380,101.36
2.385,101.36
2.390,101.36
2.395,101.36
2.400,101.36
2.405,101.36
2.410,101.36
2.415,101.36
2.420,101.36
2.425,101.36
2.430,101.36
2.435,101.36
2.440,101.36
2.445,101.36
2.450,101.36
2.455,101.36
2.460,101.36
2.465,101.36
2.470,101.36
2.475,101.36
2.480,101.36
2.485,101.36
2.490,101.36
2.495,101.36
